epoch,train_loss,train_l2_loss,train_excange_proc,val_loss,val_l2_loss,val_excange_proc,test_loss,test_l2_loss,test_excange_proc,train_acc,val_acc,test_acc,diff,train_proc,eval_proc,comm_proc,timestamp,sleep_proc
99,0.7660179077647626,10673.8212890625,0.28948099999999993,0.7049898849725723,10673.3896484375,0.0,1.014134019613266,10673.3896484375,0.0,0.76953125,0.76996,0.6749,0.0,7.720723,11.53362,0.0,2022-10-31 19:46:42.714960,0.0
100,0.7590493187308311,10619.4150390625,0.30231199999999997,0.6068691055178642,10618.994140625,0.0,0.9285089868307114,10618.994140625,0.0,0.7959375,0.79146,0.6953,0.0,7.609111,11.590966,0.0,2022-10-31 19:47:01.915340,0.0
101,0.7721218566875905,10565.294921875,0.37633399999999995,0.6013234379887581,10564.876953125,0.0,0.9046301072835923,10564.876953125,0.0,0.7953125,0.79326,0.6983,0.0,6.899901,11.57784,0.0,2022-10-31 19:47:20.393373,0.0
102,0.7502826978452504,10511.455078125,0.3005300000000001,0.6076891630887985,10511.0341796875,0.0,0.924328625202179,10511.0341796875,0.0,0.791875,0.7908,0.6934,0.0,7.54852,11.584468,0.0,2022-10-31 19:47:39.526657,0.0
103,0.7417643866501749,10457.884765625,0.280969,0.5891968940496445,10457.462890625,0.0,0.9083994013071061,10457.462890625,0.0,0.79296875,0.79882,0.6993,0.0,7.684609,11.581758,0.0,2022-10-31 19:47:58.793311,0.0
104,0.7504247254692018,10404.580078125,0.276416,0.5719472110867501,10404.162109375,0.0,0.8881333965063095,10404.162109375,0.0,0.803125,0.80444,0.7038,0.0,7.620267,11.573553,0.0,2022-10-31 19:48:17.987402,0.0
105,0.7317353640682995,10351.55859375,0.28298300000000004,0.5602549656629562,10351.1455078125,0.0,0.9015228205919266,10351.1455078125,0.0,0.809296875,0.80762,0.7072,0.0,7.568711,11.547109,0.0,2022-10-31 19:48:37.103506,0.0
106,0.7177216024138033,10298.81640625,0.2924379999999999,0.5547115969061851,10298.404296875,0.0,0.8800038629770279,10298.404296875,0.0,0.814140625,0.8115,0.7078,0.0,7.582708,11.570407,0.0,2022-10-31 19:48:56.256902,0.0
107,0.7044236192014068,10246.3369140625,0.32854200000000017,0.6157988092303276,10245.92578125,0.0,0.9609421169757844,10245.92578125,0.0,0.78671875,0.78814,0.6833,0.0,7.414975,11.5556,0.0,2022-10-31 19:49:15.227751,0.0
108,0.7020435042213649,10194.125,0.2859370000000001,0.5571270339488983,10193.7177734375,0.0,0.8931962203979492,10193.7177734375,0.0,0.8125,0.8113,0.7077,0.0,7.46362,11.589147,0.0,2022-10-31 19:49:34.280794,0.0
